ATB ID,solvent,value,reported_error,ref,datasets,formula,inchi
113,water,-19.9,None,10.1007/bf00646936,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.,Gerber",C3H8O,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
125,water,-76.02,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C4H3BrN2O2,"InChI=1S/C4H3BrN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
144,water,-23.72,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C7H9N,"InChI=1S/C7H9N/c1-6-3-2-4-7(8)5-6/h2-5H,8H2,1H3"
153,water,-23.3,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.,Boulanger et al.,Marenich et al.",C7H9N,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3"
244,water,-34.56,2.51,10.1021/ct050097l,"Mobley et al.,Dodda et al.",C7H7NO,"InChI=1S/C7H8NO/c1-6(9)7-3-2-4-8-5-7/h2-5,7H,1H3"
262,water,-41.51,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C6H8N2,"InChI=1S/C6H8N2/c7-5-2-1-3-6(8)4-5/h1-4H,7-8H2"
362,water,-35.2,None,10.1021/ja00236a026,"Mobley et al.,Boulanger et al.,Gerber",C4H6N2,"InChI=1S/C4H7N2/c1-6-3-2-5-4-6/h2,4H,3H2,1H3"
451,water,7.66,2.51,10.1021/ct050097l,"Marenich et al.,Mobley et al.,Boulanger et al.,Gerber,Dodda et al.,Shivakumar et al.",C2H6,"InChI=1S/C2H6/c1-2/h1-2H3"
461,water,-106.57,0.92,10.1007/s10822-010-9350-8,"Mobley et al.",C6H12O6,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1"
467,water,10.38,2.51,10.1021/ct050097l,"Shivakumar et al.,Gerber,Dodda et al.,Marenich et al.,Boulanger et al.,Mobley et al.",C6H14,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
480,water,-42.97,2.51,10.1021/bi00507a030,"Shivakumar et al.,Gerber,Mobley et al.",C4H6N2,"InChI=1S/C4H7N2/c1-4-2-5-3-6-4/h3,5H,2H2,1H3"
623,water,-19.16,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Gerber,Shivakumar et al.,Marenich et al.,Mobley et al.",C8H8O,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
624,water,-19.66,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.,Boulanger et al.",C9H10O,"InChI=1S/C9H10O/c1-7-3-5-9(6-4-7)8(2)10/h3-6H,1-2H3"
635,water,-31.88,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.,Marenich et al.",C7H7NO,"InChI=1S/C7H8NO/c1-6(9)7-2-4-8-5-3-7/h2,4-5H,3H2,1H3"
647,water,-31.3,2.51,10.1021/ct050097l,"Mobley et al.,Dodda et al.",C7H9NO,"InChI=1S/C7H9NO/c1-9-7-4-2-6(8)3-5-7/h2-5H,8H2,1H3"
648,water,-30.5,2.51,10.1021/ct050097l,"Mobley et al.,Dodda et al.",C7H9NO,"InChI=1S/C7H9NO/c1-9-7-4-2-3-6(8)5-7/h2-5H,8H2,1H3"
649,water,-25.61,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Mobley et al.",C7H9NO,"InChI=1S/C7H9NO/c1-9-7-5-3-2-4-6(7)8/h2-5H,8H2,1H3"
745,water,-15.64,None,10.1007/bf00646936,"Gerber,Mobley et al.,Boulanger et al.,Dodda et al.",C6H14O,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3/t6-/m1/s1"
751,water,9.62,0.84,10.1039/P29900000291,"Mobley et al.,Marenich et al.,Shivakumar et al.,Dodda et al.,Gerber,Boulanger et al.",C5H12,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
752,water,6.61,2.51,10.1021/ct050097l,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.,Gerber",C6H12,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
753,water,10.5,2.51,10.1021/ct050097l,"Gerber,Shivakumar et al.,Boulanger et al.,Dodda et al.,Mobley et al.,Marenich et al.",C5H12,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3"
755,water,10.5,2.51,10.1021/ct050097l,"Marenich et al.,Gerber,Shivakumar et al.,Boulanger et al.,Dodda et al.,Mobley et al.",C6H14,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3"
756,water,10.5,2.51,10.1021/ct050097l,"Gerber,Mobley et al.,Boulanger et al.,Dodda et al.",C6H14,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3"
757,water,10.85,None,10.1007/bf00646936,"Dodda et al.,Mobley et al.,Boulanger et al.,Shivakumar et al.,Gerber",C6H14,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3"
758,water,11.17,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Gerber,Shivakumar et al.,Marenich et al.,Mobley et al.",C7H16,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3"
759,water,11.84,2.51,10.1021/ct050097l,"Dodda et al.,Gerber,Shivakumar et al.,Mobley et al.,Marenich et al.",C7H16,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3"
761,water,11.92,0.84,http://comp.chem.umn.edu/mnsol/,"Shivakumar et al.,Boulanger et al.,Dodda et al.,Marenich et al.,Mobley et al.,Gerber",C8H18,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3"
763,water,3.14,2.51,10.1021/ct050097l,"Shivakumar et al.,Dodda et al.,Marenich et al.,Mobley et al.,Gerber",C3H6,"InChI=1S/C3H6/c1-2-3-1/h1-3H2"
764,water,5.02,2.51,10.1021/ct050097l,"Dodda et al.,Shivakumar et al.,Gerber,Mobley et al.,Boulanger et al.,Marenich et al.",C5H10,"InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2"
766,water,6.68,None,10.1007/bf00646936,"Dodda et al.,Mobley et al.,Boulanger et al.,Gerber",C6H12,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3"
767,water,3.33,None,10.1007/bf00646936,"Gerber",C7H14,"InChI=1S/C7H14/c1-2-4-6-7-5-3-1/h1-7H2"
768,water,7.14,None,10.1007/bf00646936,"Dodda et al.,Gerber,Boulanger et al.,Mobley et al.,Marenich et al.,Shivakumar et al.",C7H14,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3"
769,water,3.58,None,10.1007/bf00646936,"Gerber",C8H16,"InChI=1S/C8H16/c1-2-4-6-8-7-5-3-1/h1-8H2"
771,water,5.36,2.51,10.1021/ct050097l,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.,Gerber",C2H4,"InChI=1S/C2H4/c1-2/h1-2H2"
772,water,5.52,2.51,10.1021/ct050097l,"Boulanger et al.,Shivakumar et al.,Gerber,Mobley et al.,Marenich et al.,Dodda et al.",C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
774,water,5.31,None,10.1021/ct900587b,"Boulanger et al.,Marenich et al.,Mobley et al.,Shivakumar et al.",C4H8,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3"
776,water,5.61,0.84,http://comp.chem.umn.edu/mnsol/,"Gerber,Shivakumar et al.,Marenich et al.",C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
777,water,5.48,2.51,10.1021/jp0264477,"Boulanger et al.,Mobley et al.,Dodda et al.,Gerber",C5H10,"InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3"
778,water,7.65,None,10.1007/bf00646936,"Gerber,Mobley et al.,Boulanger et al.,Dodda et al.",C5H10,"InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3"
780,water,6.15,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Gerber,Dodda et al.",C6H12,"InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3"
781,water,7.99,None,10.1007/bf00646936,"Gerber",C6H12,"InChI=1S/C6H12/c1-4-5-6(2)3/h4,6H,1,5H2,2-3H3"
782,water,7.03,2.51,10.1021/ct050097l,"Gerber,Boulanger et al.,Dodda et al.,Mobley et al.",C7H14,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3,5H,4,6-7H2,1-2H3/b5-3+"
784,water,2.34,2.51,10.1021/ct050097l,"Marenich et al.,Mobley et al.,Gerber,Shivakumar et al.,Boulanger et al.,Dodda et al.",C5H8,"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2"
785,water,1.54,None,10.1007/bf00646936,"Gerber,Boulanger et al.,Mobley et al.,Dodda et al.",C6H10,"InChI=1S/C6H10/c1-2-4-6-5-3-1/h1-2H,3-6H2"
786,water,9.96,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Gerber,Dodda et al.,Shivakumar et al.",C5H12,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3"
787,water,2.8,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Dodda et al.,Gerber",C7H12,"InChI=1S/C7H12/c1-7-5-3-2-4-6-7/h5H,2-4,6H2,1H3"
788,water,2.57,None,10.1007/bf00646936,"Shivakumar et al.,Dodda et al.,Marenich et al.,Boulanger et al.,Mobley et al.,Gerber",C4H6,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
789,water,3.94,None,10.1007/bf00646936,"Boulanger et al.,Mobley et al.,Gerber,Dodda et al.",C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2"
791,water,2.85,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Gerber,Dodda et al.",C5H8,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3"
792,water,4.23,2.51,10.1021/ct050097l,"Gerber,Mobley et al.,Dodda et al.,Boulanger et al.",C6H10,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H,1-2,5-6H2"
794,water,-4.14,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Gerber,Mobley et al.",C7H8,"InChI=1S/C7H8/c1-2-4-6-7-5-3-1/h1-6H,7H2"
796,water,-2.01,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.,Shivakumar et al.,Gerber",C3H4,"InChI=1S/C3H4/c1-3-2/h1H,2H3"
797,water,-0.67,2.51,10.1021/ct050097l,"Shivakumar et al.,Gerber,Dodda et al.,Marenich et al.,Boulanger et al.,Mobley et al.",C4H6,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3"
798,water,0.04,2.51,10.1021/ct050097l,"Marenich et al.,Shivakumar et al.,Gerber,Boulanger et al.,Dodda et al.,Mobley et al.",C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3"
799,water,1.21,2.51,10.1021/ct050097l,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.,Gerber",C6H10,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3"
800,water,2.51,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Gerber,Dodda et al.",C7H12,"InChI=1S/C7H12/c1-3-5-7-6-4-2/h1H,4-7H2,2H3"
801,water,2.97,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Gerber,Dodda et al.",C8H14,"InChI=1S/C8H14/c1-3-5-7-8-6-4-2/h1H,4-8H2,2H3"
802,water,4.4,None,10.1007/bf00646936,"Gerber",C9H16,"InChI=1S/C9H16/c1-3-5-7-9-8-6-4-2/h1H,4-9H2,2H3"
803,water,0.17,0.84,http://comp.chem.umn.edu/mnsol/,"Gerber,Shivakumar et al.,Boulanger et al.,Marenich et al.",C4H4,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2"
804,water,-3.62,None,10.1007/bf00646936,"Gerber,Shivakumar et al.,Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.",C6H6,"InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H"
806,water,-3.31,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Shivakumar et al.,Gerber,Marenich et al.,Mobley et al.",C8H10,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
807,water,-3.77,2.51,10.1021/ct050097l,"Dodda et al.,Gerber,Boulanger et al.,Mobley et al.,Marenich et al.,Shivakumar et al.",C8H10,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
808,water,-3.47,2.51,10.1021/ct050097l,"Marenich et al.,Mobley et al.,Gerber,Shivakumar et al.,Boulanger et al.,Dodda et al.",C8H10,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
809,water,-3.35,2.51,10.1021/ct050097l,"Gerber,Boulanger et al.,Dodda et al.,Mobley et al.,Marenich et al.,Shivakumar et al.",C8H10,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
810,water,-2.23,None,10.1007/bf00646936,"Gerber,Mobley et al.,Dodda et al.,Boulanger et al.",C9H12,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3"
811,water,-1.26,2.51,10.1021/ct050097l,"Dodda et al.,Gerber,Mobley et al.,Boulanger et al.,Marenich et al.",C9H12,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3"
812,water,-3.6,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Marenich et al.,Dodda et al.,Gerber",C9H12,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3"
813,water,-1.66,None,10.1007/bf00646936,"Dodda et al.,Gerber,Mobley et al.,Boulanger et al.,Marenich et al.",C10H14,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3"
814,water,-1.88,None,10.1007/bf00646936,"Boulanger et al.,Gerber",C10H14,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3/t9-/m1/s1"
815,water,-1.83,None,10.1007/bf00646936,"Gerber,Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.",C10H14,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3"
816,water,-0.74,None,10.1007/bf00646936,"Gerber",C11H16,"InChI=1S/C11H16/c1-4-11(2,3)10-8-6-5-7-9-10/h5-9H,4H2,1-3H3"
817,water,-11.05,None,10.1021/ct900587b,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.,Gerber",C12H10,"InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H"
818,water,-11.78,None,10.1007/bf00646936,"Gerber",C13H12,"InChI=1S/C13H12/c1-3-7-12(8-4-1)11-13-9-5-2-6-10-13/h1-10H,11H2"
819,water,-14.02,2.51,10.1021/ct050097l,"Gerber,Shivakumar et al.,Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.",C13H10,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2"
820,water,-9.58,None,10.1021/ct900587b,"Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.,Shivakumar et al.,Gerber",C10H8,"InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H"
821,water,-9.91,None,10.1007/bf00646936,"Gerber,Boulanger et al.,Dodda et al.,Mobley et al.",C11H10,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3"
822,water,-10.02,None,10.1007/bf00646936,"Dodda et al.,Gerber,Mobley et al.,Boulanger et al.",C12H12,"InChI=1S/C12H12/c1-2-10-7-5-8-11-6-3-4-9-12(10)11/h3-9H,2H2,1H3"
823,water,-10.33,2.51,10.1021/ct050097l,"Shivakumar et al.,Gerber,Mobley et al.,Dodda et al.,Boulanger et al.",C12H12,"InChI=1S/C12H12/c1-9-7-10(2)12-6-4-3-5-11(12)8-9/h3-8H,1-2H3"
824,water,-11.79,None,10.1007/bf00646936,"Gerber,Mobley et al.,Dodda et al.,Boulanger et al.",C12H12,"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3"
825,water,-11.63,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Gerber,Dodda et al.",C12H12,"InChI=1S/C12H12/c1-9-7-11-5-3-4-6-12(11)8-10(9)2/h3-8H,1-2H3"
826,water,-11.0,2.51,10.1021/ct050097l,"Dodda et al.,Gerber,Mobley et al.,Boulanger et al.",C12H12,"InChI=1S/C12H12/c1-9-3-5-12-8-10(2)4-6-11(12)7-9/h3-8H,1-2H3"
827,water,-13.18,None,10.1021/ct900587b,"Shivakumar et al.",C12H8,"InChI=1S/C12H8/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-8H"
828,water,-16.53,2.51,10.1021/ct050097l,"Dodda et al.,Shivakumar et al.,Gerber,Mobley et al.,Marenich et al.",C14H10,"InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H"
829,water,-16.23,2.51,10.1021/ct050097l,"Gerber,Mobley et al.,Boulanger et al.,Dodda et al.,Shivakumar et al.",C14H10,"InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H"
842,water,-19.15,None,10.1007/bf00646936,"Marenich et al.,Boulanger et al.,Gerber",C4H10O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m1/s1"
843,water,-18.89,None,10.1007/bf00646936,"Mobley et al.,Shivakumar et al.,Gerber,Dodda et al.,Marenich et al.,Boulanger et al.",C4H10O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3"
845,water,-18.5,None,10.1007/bf00646936,"Mobley et al.,Gerber,Dodda et al.,Boulanger et al.",C5H12O,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3"
846,water,-18.72,None,10.1007/bf00646936,"Gerber,Boulanger et al.,Mobley et al.,Dodda et al.",C5H12O,"InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3/t5-/m1/s1"
847,water,-18.2,2.51,10.1021/ct050097l,"Boulanger et al.,Gerber,Dodda et al.,Mobley et al.",C5H12O,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3"
848,water,-18.54,2.51,10.1021/ct050097l,"Mobley et al.,Gerber,Dodda et al.,Boulanger et al.",C5H12O,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3"
850,water,-16.38,None,10.1007/bf00646936,"Gerber",C6H14O,"InChI=1S/C6H14O/c1-5(2)6(3,4)7/h5,7H,1-4H3"
851,water,-17.05,None,10.1007/bf00646936,"Gerber,Boulanger et al.",C6H14O,"InChI=1S/C6H14O/c1-3-5-6(7)4-2/h6-7H,3-5H2,1-2H3/t6-/m1/s1"
853,water,-16.26,None,10.1007/bf00646936,"Gerber,Boulanger et al.",C6H14O,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m0/s1"
854,water,-16.44,None,10.1007/bf00646936,"Gerber,Mobley et al.,Dodda et al.,Boulanger et al.",C6H14O,"InChI=1S/C6H14O/c1-4-5-6(2,3)7/h7H,4-5H2,1-3H3"
856,water,-16.76,None,10.1007/bf00646936,"Gerber",C7H16O,"InChI=1S/C7H16O/c1-3-5-7(8)6-4-2/h7-8H,3-6H2,1-2H3"
860,water,-24.43,None,10.1021/ct900587b,"Shivakumar et al.,Gerber,Mobley et al.,Dodda et al.,Boulanger et al.",C6H12O,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2"
865,water,-24.73,2.51,10.1021/ct050097l,"Mobley et al.,Gerber,Dodda et al.",C10H14O,"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3"
867,water,-6.65,2.51,10.1021/ct050097l,"Marenich et al.,Shivakumar et al.,Gerber,Boulanger et al.,Dodda et al.,Mobley et al.",C4H10O,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
868,water,-6.96,None,10.1007/bf00646936,"Mobley et al.,Gerber,Shivakumar et al.,Marenich et al.,Boulanger et al.",C4H10O,"InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3"
870,water,-7.59,None,10.1007/bf00646936,"Gerber",C5H12O,"InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3"
871,water,-9.25,0.84,http://comp.chem.umn.edu/mnsol/,"Gerber,Shivakumar et al.,Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.",C5H12O,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3"
873,water,-4.85,2.51,10.1021/ct050097l,"Gerber,Mobley et al.,Boulanger et al.,Dodda et al.",C6H14O,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3"
874,water,-2.23,None,10.1007/bf00646936,"Dodda et al.,Gerber,Boulanger et al.,Mobley et al.,Marenich et al.",C6H14O,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
875,water,-3.47,2.51,10.1021/ct050097l,"Marenich et al.,Gerber,Boulanger et al.,Dodda et al.,Mobley et al.",C8H18O,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3"
876,water,-14.52,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Shivakumar et al.,Dodda et al.,Gerber,Boulanger et al.,Mobley et al.",C4H8O,"InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2"
878,water,-13.07,None,http://www.jbc.org/content/263/17/8022,"Dodda et al.,Mobley et al.,Boulanger et al.,Gerber,Marenich et al.",C5H10O,"InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2"
879,water,-13.82,None,10.1007/bf00646936,"Dodda et al.,Mobley et al.,Gerber,Boulanger et al.",C5H10O,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3/t5-/m0/s1"
880,water,-12.22,2.51,10.1021/ct050097l,"Gerber,Dodda et al.,Mobley et al.,Boulanger et al.",C6H12O,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3/t5-,6-/m0/s1"
881,water,-15.61,None,10.1021/ct900587b,"Marenich et al.,Mobley et al.,Dodda et al.,Boulanger et al.,Gerber,Shivakumar et al.",C7H8O,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
882,water,-15.9,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.,Gerber,Shivakumar et al.",C3H6O,"InChI=1S/C3H6O/c1-3(2)4/h1-2H3"
883,water,-15.22,None,10.1007/bf00646936,"Boulanger et al.,Shivakumar et al.,Gerber,Marenich et al.,Dodda et al.",C4H8O,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
884,water,-14.27,None,10.1021/ct900587b,"Dodda et al.,Gerber,Boulanger et al.,Mobley et al.,Marenich et al.,Shivakumar et al.",C5H10O,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
885,water,-14.27,0.84,10.1039/P29900000291,"Shivakumar et al.,Gerber,Dodda et al.,Marenich et al.,Boulanger et al.,Mobley et al.",C5H10O,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
886,water,-13.56,2.51,10.1021/ct050097l,"Gerber,Boulanger et al.,Mobley et al.,Dodda et al.",C5H10O,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3"
887,water,-13.72,2.51,10.1021/ct050097l,"Shivakumar et al.,Gerber,Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.",C6H12O,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
889,water,-12.72,2.51,10.1021/ct050097l,"Marenich et al.,Mobley et al.,Gerber,Shivakumar et al.,Boulanger et al.,Dodda et al.",C7H14O,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
890,water,-12.22,2.51,10.1021/ct050097l,"Gerber,Shivakumar et al.,Boulanger et al.,Dodda et al.,Mobley et al.,Marenich et al.",C7H14O,"InChI=1S/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3"
891,water,-11.46,2.51,10.1021/ct050097l,"Dodda et al.,Gerber,Mobley et al.,Boulanger et al.",C7H14O,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3"
